Date,hour_type,ng price,coal price,price_01,price_02,price_03,lmp,Central ActualLoad (MWh),Central MTLF (MWh),East ActualLoad (MWh),East MTLF (MWh),Main Aload
5/6/2008 0:00,0,11.09,14.25,21.81,20.87,20.27,17.84,16274.62,16400,21541.1,22685,29431
5/6/2008 1:00,0,11.09,14.25,21.87,19.9,18.59,14.31,15590.06,15643,20704.83,22162,28064
5/6/2008 2:00,0,11.09,14.25,18.65,14.84,12.18,22.15,15158.88,15233,20323.99,21839,27379
5/6/2008 3:00,0,11.09,14.25,18.5,15.2,13.92,18.31,15166.17,15132,20385.15,22036,27134
5/6/2008 4:00,0,11.09,14.25,24.32,22.34,20.64,31.07,,15747,21324.51,23075,27490
5/6/2008 5:00,0,11.09,14.25,23.59,22.7,21.76,34.67,16461.51,16836,,24646,29182
5/6/2008 6:00,0,11.09,14.25,21.81,21.21,20.98,49.45,17639.37,17972,24957.79,27010,32051
5/6/2008 7:00,0,11.09,14.25,23.89,22.99,22.44,50.69,19275.75,19380,27376.44,28523,34149
5/6/2008 8:00,0,11.09,14.25,20.69,18.89,17.45,47.97,20834.75,20795,29405.08,30026,35442
5/6/2008 9:00,0,11.09,14.25,17.72,15.74,14.08,76.79,22195.76,22109,30917.98,31591,36175
5/6/2008 10:00,1,11.09,14.25,18.63,15.14,14.65,61.43,23435.5,23338,31835.72,32939,36998
5/6/2008 11:00,1,11.09,14.25,22.72,21.26,19.09,62.64,24533.65,23943,32457.99,33378,37426
5/6/2008 12:00,1,11.09,14.25,19.76,18.39,15.64,81.37,25245.66,24819,32908.28,34076,37907
5/6/2008 13:00,1,11.09,14.25,18.46,16.13,16.82,84.8,25809.05,25509,33061.62,34396,38285
5/6/2008 14:00,1,11.09,14.25,16.69,14.77,14.36,109.99,26127.38,25955,33062.8,34139,38438
5/6/2008 15:00,1,11.09,14.25,19.18,18.6,18.62,76.62,26446.26,26308,32999.96,33895,38338
5/6/2008 16:00,1,11.09,14.25,20.4,19.21,19.07,108.35,26679.44,26490,32833.23,33532,38161
5/6/2008 17:00,1,11.09,14.25,19.97,17.93,17.72,117.69,26674.59,26522,32457.84,32798,37711
5/6/2008 18:00,1,11.09,14.25,19.91,,15.12,38.79,26133.8,26031,31577.81,31997,37253
5/6/2008 19:00,1,11.09,14.25,19.34,16.82,15.36,90.14,25174.3,25035,30709.7,31182,36685
5/6/2008 20:00,1,11.09,14.25,17.95,14.39,12.73,85.34,24480.64,24253,30434.97,30704,37230
5/6/2008 21:00,0,11.09,14.25,20.55,19.04,18.91,44.4,23587.53,23332,29558.72,29345,37826
5/6/2008 22:00,0,11.09,14.25,16.98,15.37,14.5,30.93,21629.85,21479,26946.59,26821,35806
5/6/2008 23:00,0,11.09,14.25,17.84,16.55,15.91,-3.32,19512.94,19538,24690.77,24519,32662
5/7/2008 0:00,0,11.08,14.14285714,13.31,10.28,8.71,8.55,18176.3,18487,23234.11,23834,30294
5/7/2008 1:00,0,11.08,14.14285714,21.11,17.79,14.46,-18.83,17210.71,17548,22257.79,23045,28889
5/7/2008 2:00,0,11.08,14.14285714,22.87,21.09,19.15,14.31,16658.39,16924,21691.68,22511,27990
5/7/2008 3:00,0,11.08,14.14285714,21.34,20.72,21.25,22.55,16524.02,16726,21673.54,22514,27541
5/7/2008 4:00,0,11.08,,22.52,21.47,21.33,29.69,16942.34,17168,22516.47,23389,27723
5/7/2008 5:00,0,11.08,14.14285714,24.18,21.13,20.38,40.04,17759.59,18125,23708.82,24591,29366
5/7/2008 6:00,0,11.08,14.14285714,30.87,27.4,25.53,40.81,18822.51,19188,25864.46,26783,32199
5/7/2008 7:00,0,11.08,14.14285714,34.11,29.6,25.84,42.03,20392.46,20656,,28733,34559
5/7/2008 8:00,0,11.08,14.14285714,37.74,32.04,28.47,37.72,21865.48,22066,29411.05,29685,35986
5/7/2008 9:00,0,11.08,14.14285714,30,28.83,,65.89,23385.29,23447,30608.58,30400,36820
5/7/2008 10:00,1,11.08,14.14285714,26.23,22.69,22.5,45.12,24726.6,24849,31235.27,31243,37636
5/7/2008 11:00,1,11.08,14.14285714,17.46,14.16,9.11,76.51,25904.22,25817,31640.52,31198,38096
5/7/2008 12:00,1,11.08,14.14285714,5.21,-1.5,-2.14,77.77,26833.02,26782,31978.31,31570,38324
5/7/2008 13:00,1,11.08,14.14285714,15.32,11.78,10.46,86.97,27498.22,27514,31988.07,31690,38713
5/7/2008 14:00,1,11.08,14.14285714,8.53,2.35,1.99,49.52,27946.12,27957,31668.59,31458,38754
5/7/2008 15:00,1,11.08,14.14285714,2.44,-1.46,-1.36,63.03,28241.18,28360,31503.89,31226,38569
5/7/2008 16:00,1,11.08,14.14285714,-1.69,-2.13,-2.07,31.28,28207.81,28438,30957.48,30869,38330
5/7/2008 17:00,1,11.08,14.14285714,-2.97,-3.05,-5.82,70.46,27832.1,28042,30254.02,30090,38025
5/7/2008 18:00,1,11.08,14.14285714,-2.25,-3.66,-6.23,57.27,27107.09,27321,29432.33,29373,37498
5/7/2008 19:00,1,11.08,14.14285714,-2.54,-8.81,-10.87,53.28,26085.92,26464,28697.5,29164,37251
5/7/2008 20:00,1,11.08,14.14285714,-1.85,-1.9,-2.1,84.53,25454.88,25717,28899.16,29389,38213
5/7/2008 21:00,0,11.08,14.14285714,-1.81,-1.74,-4.22,46.87,24514.22,24924,28187.47,28570,38018
5/7/2008 22:00,0,11.08,14.14285714,3.21,-0.75,-1.69,29.66,22429.5,23077,25731.11,26271,35661
5/7/2008 23:00,0,11.08,14.14285714,-0.88,-0.56,-1.37,23.08,20439.81,21049,23783.78,24875,32680
5/8/2008 0:00,0,11.33,14.03571429,-1.98,-1.81,-2.01,14.98,18919.04,19105,22515.5,23415,30401
5/8/2008 1:00,0,11.33,14.03571429,0.41,-0.91,-0.79,18.7,17953.8,18156,21657.37,22591,28921
5/8/2008 2:00,0,11.33,14.03571429,14.73,6.11,0.68,3.97,17362.36,17497,21170.09,22135,28082
5/8/2008 3:00,0,11.33,14.03571429,26.97,21.77,18.43,12.82,17123.49,17239,21171.67,22188,27796
5/8/2008 4:00,0,11.33,14.03571429,25.92,24.26,21.46,22.44,17361.94,17555,22145.82,23031,28119
5/8/2008 5:00,0,11.33,14.03571429,24.23,20.45,16.75,42.02,18313.72,18442,23437.61,24394,29472
5/8/2008 6:00,0,11.33,14.03571429,20.78,17.04,11.77,55.81,19301.5,19589,25576.47,26229,32289
5/8/2008 7:00,0,11.33,14.03571429,19.01,12.36,9.17,71.31,20672.24,20842,27556.97,27434,34493
5/8/2008 8:00,0,11.33,14.03571429,20.8,12.96,9.69,50.72,21859.87,22196,28875.44,28671,35913
5/8/2008 9:00,0,11.33,14.03571429,9.35,3.15,0.25,71.82,22913.4,23555,30069.39,29804,36624
5/8/2008 10:00,1,11.33,14.03571429,23.94,20.75,14.69,84.68,23865.15,24762,30731.4,30454,37114
5/8/2008 11:00,1,11.33,14.03571429,23.45,20.8,14.81,86.2,24853.37,25864,31050.99,30926,37428
5/8/2008 12:00,1,11.33,14.03571429,19.77,14.27,9.89,69.91,25573.59,26806,31312.41,31262,37464
5/8/2008 13:00,1,11.33,14.03571429,13.78,5.33,1.28,70.42,26194.71,27487,31394.19,31363,37478
5/8/2008 14:00,1,11.33,14.03571429,22.27,,13.53,41.77,26546.34,27778,31167.78,31260,37341
5/8/2008 15:00,1,11.33,14.03571429,26.27,22.23,18.12,85.02,26635.12,28087,30896.46,31113,36909
5/8/2008 16:00,1,11.33,14.03571429,27.56,23.98,21.6,39.28,26558.7,28194,30447.68,30843,36886
5/8/2008 17:00,1,11.33,14.03571429,23.24,20.63,19.56,79.85,26197.11,27895,29761.91,30349,36667
5/8/2008 18:00,1,11.33,14.03571429,24.31,21.83,20.44,35.24,25474.5,27276,29214.88,29568,36330
5/8/2008 19:00,1,11.33,14.03571429,28.4,22.16,19.68,64.79,24702.19,26451,,29084,36086
5/8/2008 20:00,1,11.33,,22.49,16.4,9.26,117.62,24281.28,25749,29057.05,29236,36664
5/8/2008 21:00,0,11.33,14.03571429,17.47,9.26,6.92,40.23,23390.02,24889,28324.76,28362,37058
5/8/2008 22:00,0,11.33,14.03571429,22.84,18.47,14.04,32.56,21753.69,22979,26001.88,26087,35022
5/8/2008 23:00,0,11.33,14.03571429,31.81,23.85,22.85,-7.59,19845.97,21033,23908.92,24844,32429
5/9/2008 0:00,0,11.29,13.92857143,33.46,29.57,27.08,29.9,18521.38,18194,22582.72,23326,30151
5/9/2008 1:00,0,11.29,13.92857143,36.54,33.22,30.21,7.52,17672.89,17279,21765.06,22481,28941
5/9/2008 2:00,0,11.29,13.92857143,38.61,34.58,31.64,25.47,17161.88,16726,21320.87,22020,28149
5/9/2008 3:00,0,11.29,13.92857143,36.97,32.57,25.96,22.28,16976.36,16536,21362.09,22099,27874
5/9/2008 4:00,0,11.29,13.92857143,33.78,28.83,26.74,29.9,17352.49,16871,22259.07,22940,27981
5/9/2008 5:00,0,11.29,13.92857143,31.48,25.52,23.51,38.51,18269.89,17730,23569.01,24268,29394
5/9/2008 6:00,0,11.29,13.92857143,29.93,23.17,21.08,79.85,19331.77,18792,25758.12,25379,32070
5/9/2008 7:00,0,11.29,13.92857143,23.07,20.69,19.31,83.75,20655.9,20018,27944.83,27389,34107
5/9/2008 8:00,0,11.29,13.92857143,22.74,20.51,18.12,124.17,21929.22,21427,29534.9,28932,35437
5/9/2008 9:00,0,11.29,13.92857143,31.52,24.47,22.13,127.5,23172.47,22798,30791.84,30227,36199
5/9/2008 10:00,1,11.29,13.92857143,33.42,29.17,22.39,123.01,24299.41,24095,31683.34,31119,36635
5/9/2008 11:00,1,11.29,13.92857143,27.86,22.27,21.07,106.48,25248.46,25330,32486.34,31841,36704
5/9/2008 12:00,1,11.29,13.92857143,34.09,27.45,22.27,131.1,26129.49,26380,33033,32567,36760
5/9/2008 13:00,1,11.29,13.92857143,38.92,34.71,32.76,99.67,26980.41,27265,33274.03,32962,36554
5/9/2008 14:00,1,11.29,13.92857143,40.67,35.54,32.4,71.01,27571.88,27936,33373.31,33085,36260
5/9/2008 15:00,1,11.29,13.92857143,36.77,32.32,28.15,67.5,27915.8,28361,33467.73,33187,35728
5/9/2008 16:00,1,11.29,13.92857143,37.59,32.34,30.07,108.12,28149.89,28577,33213.15,33027,35543
5/9/2008 17:00,1,11.29,13.92857143,31.18,25.31,20.88,61.98,28073.7,28453,32659.01,32634,34882
5/9/2008 18:00,1,11.29,13.92857143,28.51,24.22,21.82,41.35,27427.35,27888,31947.57,31707,34567
5/9/2008 19:00,1,11.29,13.92857143,34.01,28.92,26.41,121.7,26591.34,26913,31112.44,30889,34160
5/9/2008 20:00,1,11.29,13.92857143,32.56,29.08,26.51,94.5,26210.31,26010,31007.52,30870,34712
5/9/2008 21:00,0,11.29,13.92857143,31.08,27.87,23.43,67.44,25401.69,25049,30147.34,29791,35198
5/9/2008 22:00,0,11.29,13.92857143,27.77,21.68,18.82,34.6,23469.66,23021,27631.44,27121,33726
5/9/2008 23:00,0,11.29,13.92857143,21.05,15.25,10.98,30.18,21459.02,21099,25338.62,25965,31382
5/10/2008 0:00,0,11.29,13.82142857,18.18,10.11,6.13,34.17,19977.14,19854,23855.07,24675,29401
5/10/2008 1:00,0,11.29,13.82142857,20.88,13.13,7.62,30.93,18901.07,18904,22878.27,23808,27878
5/10/2008 2:00,0,11.29,13.82142857,20.35,13.19,10.26,21.4,18190.07,18271,22325.57,23261,27006
5/10/2008 3:00,0,11.29,13.82142857,22.86,17.39,13.35,24.19,17919.81,17963,22259.16,23173,26607
5/10/2008 4:00,0,11.29,13.82142857,27.82,21.87,19.79,32.76,18126.96,18228,22950.46,24030,26709
5/10/2008 5:00,0,11.29,13.82142857,27.6,23.13,20.37,35.12,19011.14,19187,24055.85,25285,26974
5/10/2008 6:00,0,11.29,13.82142857,25.92,19.05,12.79,41.89,20126.26,20177,26235.65,27604,27744
5/10/2008 7:00,0,11.29,13.82142857,24.2,13.95,7.22,90.13,21549.34,21858,28511.74,29601,28850
5/10/2008 8:00,0,11.29,13.82142857,26.89,19.79,16.02,134.02,22796.86,23654,30370.2,30692,30541
5/10/2008 9:00,0,11.29,13.82142857,32.65,28.19,24.53,76.98,23967.4,24861,31854.76,31587,31790
5/10/2008 10:00,1,11.29,13.82142857,26.4,21.51,17.69,70.82,25114.34,26512,32988.55,32755,32205
5/10/2008 11:00,1,11.29,13.82142857,26.45,18.74,16.43,59.33,26253.59,28083,33839.87,33837,32262
5/10/2008 12:00,1,11.29,13.82142857,27.48,21.37,18.78,74.9,27295.29,29160,34596.73,34892,32110
5/10/2008 13:00,1,11.29,13.82142857,30.46,27.68,22.34,57.31,27993.47,30058,34897.1,35408,31694
5/10/2008 14:00,1,11.29,13.82142857,28.48,21.61,15.17,63.92,28110.75,30593,34855.52,35480,31373
5/10/2008 15:00,1,11.29,13.82142857,24.27,18.94,15.72,40.55,28136.08,30861,34833.41,35523,31060
5/10/2008 16:00,1,11.29,13.82142857,21.67,17.12,13.59,40.17,28080.12,30901,34559.86,35157,30974
5/10/2008 17:00,1,11.29,13.82142857,22.21,15.02,11.57,53.32,27727.06,30386,33985.12,34473,30810
5/10/2008 18:00,1,11.29,13.82142857,25.87,19.95,15.38,40.77,27041.86,29415,33293.92,33600,30630
5/10/2008 19:00,1,11.29,13.82142857,28.36,23.08,21.19,47.94,26218.62,28100,32526.71,32426,30561
5/10/2008 20:00,1,11.29,13.82142857,27.32,22.45,19.85,90.87,25739.94,27301,32349.49,32258,31440
5/10/2008 21:00,0,11.29,13.82142857,26.2,21.57,15.81,35.21,25094.05,26384,31637.28,31215,32267
5/10/2008 22:00,0,11.29,13.82142857,23.47,16.6,9.92,23.05,23281.76,24542,29188.65,28565,31180
5/10/2008 23:00,0,11.29,13.82142857,22.66,16.04,11.57,20.15,21592.81,22471,26753.83,26895,29357
5/11/2008 0:00,0,11.29,13.71428571,28.21,25.89,24.28,10.28,20051.52,19871,25103.59,26014,27533
5/11/2008 1:00,0,11.29,13.71428571,23.85,20.76,15.67,23.5,18988.27,18671,23900.24,24715,26322
5/11/2008 2:00,0,11.29,13.71428571,17.65,14.23,11.69,4.49,18236.9,17915,23045.72,23970,25624
5/11/2008 3:00,0,11.29,13.71428571,11.84,2.2,0.22,14.99,17894.03,17332,22720.43,23539,25234
5/11/2008 4:00,0,11.29,13.71428571,17.18,5.51,1.4,22.71,17874.25,17242,22825.74,23405,25292
5/11/2008 5:00,0,11.29,13.71428571,21.09,15,12.37,19.37,17988.4,17315,22952.58,23217,25436
5/11/2008 6:00,0,11.29,13.71428571,19.07,13.76,11.5,30.15,18464.73,17548,23748.03,24205,26082
5/11/2008 7:00,0,11.29,13.71428571,14.89,10.18,7.41,33.43,19818.46,18698,25298.59,26037,27024
5/11/2008 8:00,0,11.29,13.71428571,5.7,3.48,0.54,30.9,21251.04,20648,27077.04,27567,28827
5/11/2008 9:00,0,11.29,13.71428571,23.19,20.08,19.35,31.79,22484.81,22807,28693.09,28638,30101
5/11/2008 10:00,1,11.29,13.71428571,24.83,19.74,17.65,34.67,23065.37,24434,29843.87,29775,30745
5/11/2008 11:00,1,11.29,13.71428571,25.89,23.09,22.57,38.16,23380.83,25755,30074.48,30378,30938
5/11/2008 12:00,1,11.29,13.71428571,23.43,22.29,21.35,34.79,23778.85,26675,30892.03,30739,31097
